class_uri,fname,alpha,iscorrect
http://www.wikidata.org/entity/Q6256,24036779_0_5608105867560183058.csv,0.011667,1
http://www.wikidata.org/entity/Q6256,52299421_0_4473286348258170200.csv,0.011667,0
http://www.wikidata.org/entity/Q6256,61121469_0_6337620713408906340.csv,0.011667,1
http://www.wikidata.org/entity/Q6256,8009320_0_5507755752653817624.csv,0.010000,1
http://www.wikidata.org/entity/Q515,70404164_0_5498195978476333642.csv,0.037500,1
http://www.wikidata.org/entity/Q515,75154185_0_1607627349983289012.csv,0.045000,1
http://www.wikidata.org/entity/Q515,77632062_0_2292892375652659825.csv,0.037500,1
